"Nombre_plataforma","Nombre","id","latitud","longitud","linea_1","linea_2","linea_3","orden_linea_1","orden_linea_2","orden_linea_3","orden_linea_1_subida","orden_linea_1_bajada","orden_linea_2_subida","orden_linea_2_bajada","orden_linea_3_subida","orden_linea_3_bajada","sentido","L1_horario_1er_servicio_D","L1_horario_1er_servicio_L_V","L1_horario_1er_servicio_S","L2_horario_1er_servicio_D","L2_horario_1er_servicio_L_V","L2_horario_1er_servicio_S","L3_horario_1er_servicio_D","L3_horario_1er_servicio_L_V","L3_horario_1er_servicio_S"
"Universidad_bajada","Universidad",116,40.0350189,-6.0847062,1,1,0,17,11,NA,NA,NA,NA,NA,NA,NA,0,"07:45:00","07:45:00","07:45:00","10:15:00","08:15:00","08:05:00",NA,NA,NA
"Piscina Bioclimática_subida","Piscina Bioclimática",101,40.0453148,-6.0858251,0,0,1,NA,NA,27,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:44:00","07:39:00","08:24:00"
"Puente Trujillo_bajada","Puente Trujillo",108,40.0269796,-6.0928833,1,0,1,22,NA,21,NA,NA,NA,NA,NA,NA,0,"07:50:00","07:50:00","07:50:00",NA,NA,NA,"08:10:00","08:05:00","08:50:00"
"Puerta de Coria 1_bajada","Puerta de Coria 1",111,40.028909,-6.0953904,0,1,0,NA,17,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"10:22:00","08:22:00","08:12:00",NA,NA,NA
"Policía Local_bajada","Policía Local",106,40.0398417,-6.076916,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:33:00","07:33:00","07:33:00",NA,NA,NA,NA,NA,NA
"Puerta Talavera_bajada","Puerta Talavera",114,40.0287452,-6.0886793,0,0,1,NA,NA,19,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"08:08:00","08:03:00","08:48:00"
"Puente Trujillo_subida","Puente Trujillo",109,40.0269901,-6.0920049,1,1,1,9,2,7,NA,NA,NA,NA,NA,NA,1,"07:41:00","07:41:00","07:41:00","09:39:00","07:39:00","07:29:00","07:27:00","07:22:00","08:07:00"
"Sociosanitario","Sociosanitario",115,40.0059823,-6.1133737,1,0,0,NA,NA,NA,0,33,NA,NA,NA,NA,2,"08:02:00","08:02:00","08:02:00",NA,NA,NA,NA,NA,NA
"Puerta de Coria 2_bajada","Puerta de Coria 2",112,40.0290328,-6.0954245,0,1,0,NA,19,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"09:31:00","07:31:00","07:21:00",NA,NA,NA
"Universidad_subida","Universidad",117,40.035965,-6.084159,1,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,1,"07:49:00","07:49:00","07:49:00","","","",NA,NA,NA
"Cruz Roja Salamanca_subida","Cruz Roja Salamanca",119,40.0420151,-6.09138,0,0,1,NA,NA,24,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:41:00","07:36:00","08:21:00"
"Cruz Roja Salamanca_bajada","Cruz Roja Salamanca",118,40.0416959,-6.091311,0,0,1,NA,NA,4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"09:47:00","07:47:00","07:37:00","07:52:00","07:47:00","08:32:00"
